Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
GDP (current US$),NY.GDP.MKTP.CD,"Hong Kong SAR, China",HKG,76928290841.8701,171668164082.555,214046415026.187,228637697575.04,248513617677.287,262629441493.476,275696879834.966,291459356985.337,309383627028.561,320860698504.309,341648103474.824,362992536837.405
GDP (current US$),NY.GDP.MKTP.CD,Hungary,HUN,..,47310623887.2319,130593960612.172,130922638689.071,140782064609.187,127856647107.82,135220881110.441,140082504424.588,123074092703.141,126007978024.32,139761138102.757,155703069815.638
GDP (current US$),NY.GDP.MKTP.CD,Iceland,ISL,6478459746.96228,9003639475.42485,13164652894.2464,13683689802.2771,15158548597.3876,14724078264.24,16033517529.2506,17758089312.4856,17344165907.2129,20716024757.4057,24489493459.0074,25878475760.1131
GDP (current US$),NY.GDP.MKTP.CD,India,IND,320979034101.132,468394948471.616,1341886699393.18,1675615312693.42,1823049927771.46,1827637859135.7,1856722121394.53,2039127446298.55,2103587813812.75,2290432075123.75,2652551202555.27,2726322616821.31
GDP (current US$),NY.GDP.MKTP.CD,Indonesia,IDN,106140727357.035,165021012077.81,539580085612.401,755094160363.073,892969107923.097,917869910105.748,912524136718.019,890814755233.225,860854235065.079,931877364177.742,1015423455783.28,1042173300625.55
GDP (current US$),NY.GDP.MKTP.CD,"Iran, Islamic Rep.",IRN,124813263926.246,109591707802.233,414059094949.063,487069570463.768,583500357530.414,598853401276.101,467414852231.299,434474616831.914,385874474398.59,418976679728.567,454012768723.589,..
GDP (current US$),NY.GDP.MKTP.CD,Iraq,IRQ,179885815374.719,..,111660855042.735,138516722649.573,185749664444.444,218000986222.639,234648370497.427,234648370497.427,177498577312.923,170219966159.052,193158783783.784,225914183047.981
GDP (current US$),NY.GDP.MKTP.CD,Ireland,IRL,49364679953.1067,99852958356.3663,236316405946.096,222134042030.2,237907714639.4,225128651298.079,238890278093.278,259101611738.068,291092489805.942,302242900803.522,331430014003.047,375902683115.574
GDP (current US$),NY.GDP.MKTP.CD,Isle of Man,IMN,..,1563667799.61578,5487083657.89064,5920177688.50433,6566098381.6696,6433357030.0158,6754330154.76004,7428280401.5139,6792417112.29947,6592627599.24386,..,..
GDP (current US$),NY.GDP.MKTP.CD,Israel,ISR,58925374365.3343,132243719324.062,207451779086.031,233732926323.391,261716880681.784,257435001991.474,292917010877.217,310007879343.474,300470790394.923,319377923613.703,353268411918.577,369690434708.801
GDP (current US$),NY.GDP.MKTP.CD,Italy,ITA,1177326294440.85,1141759996314.72,2185160183384.27,2125058244242.92,2276292404600.52,2072823157059.76,2130491320658.68,2151732868243.21,1832273032580.67,1869201702185.17,1946570340341.13,2073901988878.23
GDP (current US$),NY.GDP.MKTP.CD,Jamaica,JAM,4592224067.37194,8985352831.94058,12067478477.5714,13200286270.4683,14413359665.4275,14798716216.2162,14193012191.4957,13852192273.1357,14145469269.457,14072135208.5664,14781107821.7513,15717858486.9424
GDP (current US$),NY.GDP.MKTP.CD,Japan,JPN,3132817652848.04,4887519660744.86,5231382674593.7,5700098114744.41,6157459594823.72,6203213121334.12,5155717056270.83,4850413536037.84,4389475622588.97,4926667087367.51,4859950558538.97,4970915556638.88
GDP (current US$),NY.GDP.MKTP.CD,Jordan,JOR,4160003917.43258,8460424400.56418,23974612129.7602,26551480959.0973,28932299012.6939,30966149506.347,33675599435.8251,36104372355.4302,37968970380.8181,39252468265.1622,40765867418.8999,42290832157.969
GDP (current US$),NY.GDP.MKTP.CD,Kazakhstan,KAZ,26932728898.8146,18291990619.137,115308661142.927,148047348240.643,192626507971.584,207998568865.789,236634552078.102,221415572819.5,184388432148.715,137278320084.171,162886867831.694,170538870248.194
GDP (current US$),NY.GDP.MKTP.CD,Kenya,KEN,8572359162.85631,12705357103.0056,37021512048.8158,40000088346.8041,41953433591.4101,50412754861.0191,55096728047.9408,61448046801.7207,64007750178.5974,69188755510.9427,78757391333.0088,87908262520.2133
GDP (current US$),NY.GDP.MKTP.CD,Kiribati,KIR,39809538.6776989,67254174.3970315,132420059.273124,156120895.248578,181705002.578649,190243321.598675,185113921.606488,179703443.302686,171117872.436331,178328873.030033,185572501.532802,188284518.828452
GDP (current US$),NY.GDP.MKTP.CD,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,"Korea, Rep.",KOR,279349355713.801,561633125839.994,901934953364.711,1094499338702.72,1202463682633.85,1222807284485.31,1305604981271.91,1411333926201.24,1382764027113.82,1414804158515.26,1530750923148.7,1619423701169.63
GDP (current US$),NY.GDP.MKTP.CD,Kosovo,XKX,..,1849196082.05507,5653792720.20006,5830463576.15894,6691826522.10175,6499935757.42002,7071959638.87414,7386891336.07536,6440612176.999,6714712389.38053,7227764976.79274,7900268735.55547
GDP (current US$),NY.GDP.MKTP.CD,Kuwait,KWT,18427777777.7778,37711864406.7797,105899930507.297,115419050942.08,154027536231.884,174070025008.932,174161142454.161,162631412508.784,114567298105.683,109420059582.92,119551599076.822,141677814569.536
GDP (current US$),NY.GDP.MKTP.CD,Kyrgyz Republic,KGZ,2675000000,1369692689.42855,4690062255.12247,4794357795.07139,6197766118.59856,6605139933.41063,7335027591.91628,7468096566.71158,6678178340.45121,6813092065.83507,7702934800.12836,8092836608.78875
GDP (current US$),NY.GDP.MKTP.CD,Lao PDR,LAO,865559856.1639,1731198022.45494,5832915387.08908,7127792629.58294,8749241114.18913,10191350119.6808,11942230508.334,13268458231.9284,14390391264.2607,15805707154.2329,16853087485.4118,18130724396.3364
GDP (current US$),NY.GDP.MKTP.CD,Latvia,LVA,..,7937758980.30127,26169854045.0375,23757368290.0955,28223552824.7508,28119996053.2511,30254677296.9181,31335013751.5424,26972863393.6384,27695474684.447,30463302413.7289,34849078085.6672
GDP (current US$),NY.GDP.MKTP.CD,Lebanon,LBN,2838485353.96187,17260364842.4544,35477299023.8806,38419626533.9967,40075674295.1907,44230727694.859,46866579767.8275,48296099502.4876,49973893200.6633,51239050082.9187,53393799668.325,56639155555.5556
